
PACKET HDR=50, RSSI=-83, DEST=ec:10:7b:ad:b0:1c, SRC =28:c6:8e:64:c5:f2, SSID=28:c6:8e:64:c5:f2, TIME= 4253748

PACKET HDR=850, RSSI=-83, DEST=ec:10:7b:ad:b0:1c, SRC =28:c6:8e:64:c5:f2, SSID=28:c6:8e:64:c5:f2, TIME= 4253748

PACKET HDR=850, RSSI=-83, DEST=ec:10:7b:ad:b0:1c, SRC =28:c6:8e:64:c5:f2, SSID=28:c6:8e:64:c5:f2, TIME= 4253748

PACKET HDR=850, RSSI=-83, DEST=ec:10:7b:ad:b0:1c, SRC =28:c6:8e:64:c5:f2, SSID=28:c6:8e:64:c5:f2, TIME= 4253748

PACKET HDR=850, RSSI=-83, DEST=ec:10:7b:ad:b0:1c, SRC =28:c6:8e:64:c5:f2, SSID=28:c6:8e:64:c5:f2, TIME= 4253748

PACKET HDR=850, RSSI=-83, DEST=ec:10:7b:ad:b0:1c, SRC =28:c6:8e:64:c5:f2, SSID=28:c6:8e:64:c5:f2, TIME= 4253748

PACKET HDR=850, RSSI=-83, DEST=ec:10:7b:ad:b0:1c, SRC =28:c6:8e:64:c5:f2, SSID=28:c6:8e:64:c5:f2, TIME= 4253748

PACKET HDR=850, RSSI=-83, DEST=ec:10:7b:ad:b0:1c, SRC =28:c6:8e:64:c5:f2, SSID=28:c6:8e:64:c5:f2, TIME= 4253748

PACKET HDR=850, RSSI=-84, DEST=ec:10:7b:ad:b0:1c, SRC =28:c6:8e:64:c5:f2, SSID=28:c6:8e:64:c5:f2, TIME= 4253748

PACKET HDR=850, RSSI=-83, DEST=ec:10:7b:ad:b0:1c, SRC =28:c6:8e:64:c5:f2, SSID=28:c6:8e:64:c5:f2, TIME= 4285488

PACKET HDR=850, RSSI=-83, DEST=ec:10:7b:ad:b0:1c, SRC =28:c6:8e:64:c5:f2, SSID=28:c6:8e:64:c5:f2, TIME= 4285488

PACKET HDR=50, RSSI=-85, DEST=ec:10:7b:ad:b0:1c, SRC =28:c6:8e:64:c5:f2, SSID=28:c6:8e:64:c5:f2, TIME= 4307726

PACKET HDR=850, RSSI=-83, DEST=ec:10:7b:ad:b0:1c, SRC =28:c6:8e:64:c5:f2, SSID=28:c6:8e:64:c5:f2, TIME= 4307726

PACKET HDR=850, RSSI=-84, DEST=ec:10:7b:ad:b0:1c, SRC =28:c6:8e:64:c5:f2, SSID=28:c6:8e:64:c5:f2, TIME= 4307726

PACKET HDR=850, RSSI=-83, DEST=ec:10:7b:ad:b0:1c, SRC =28:c6:8e:64:c5:f2, SSID=28:c6:8e:64:c5:f2, TIME= 4307726

PACKET HDR=850, RSSI=-83, DEST=ec:10:7b:ad:b0:1c, SRC =28:c6:8e:64:c5:f2, SSID=28:c6:8e:64:c5:f2, TIME= 4307726

PACKET HDR=850, RSSI=-82, DEST=ec:10:7b:ad:b0:1c, SRC =28:c6:8e:64:c5:f2, SSID=28:c6:8e:64:c5:f2, TIME= 4307726

PACKET HDR=850, RSSI=-83, DEST=ec:10:7b:ad:b0:1c, SRC =28:c6:8e:64:c5:f2, SSID=28:c6:8e:64:c5:f2, TIME= 4307726

PACKET HDR=850, RSSI=-84, DEST=ec:10:7b:ad:b0:1c, SRC =28:c6:8e:64:c5:f2, SSID=28:c6:8e:64:c5:f2, TIME= 4357384

PACKET HDR=850, RSSI=-84, DEST=ec:10:7b:ad:b0:1c, SRC =28:c6:8e:64:c5:f2, SSID=28:c6:8e:64:c5:f2, TIME= 4360349

PACKET HDR=850, RSSI=-84, DEST=ec:10:7b:ad:b0:1c, SRC =28:c6:8e:64:c5:f2, SSID=28:c6:8e:64:c5:f2, TIME= 4360349

PACKET HDR=50, RSSI=-94, DEST=8a:fd:81:fb:b3:12, SRC =9e:97:26:8b:10:10, SSID=9e:97:26:8b:10:10, TIME= 5628640

PACKET HDR=850, RSSI=-95, DEST=8a:fd:81:fb:b3:12, SRC =9e:97:26:8b:10:10, SSID=9e:97:26:8b:10:10, TIME= 5628640

PACKET HDR=850, RSSI=-93, DEST=8a:fd:81:fb:b3:12, SRC =9e:97:26:8b:10:10, SSID=9e:97:26:8b:10:10, TIME= 5672463

PACKET HDR=850, RSSI=-93, DEST=8a:fd:81:fb:b3:12, SRC =9e:97:26:8b:10:10, SSID=9e:97:26:8b:10:10, TIME= 5672463

PACKET HDR=850, RSSI=-95, DEST=8a:fd:81:fb:b3:12, SRC =9c:97:26:8b:10:0f, SSID=9c:97:26:8b:10:0f, TIME= 5687440

PACKET HDR=850, RSSI=-95, DEST=8a:fd:81:fb:b3:12, SRC =9c:97:26:8b:10:0f, SSID=9c:97:26:8b:10:0f, TIME= 5687440

PACKET HDR=50, RSSI=-83, DEST=6c:ad:f8:aa:7f:12, SRC =28:c6:8e:64:c5:f2, SSID=28:c6:8e:64:c5:f2, TIME= 5913556

PACKET HDR=850, RSSI=-83, DEST=6c:ad:f8:aa:7f:12, SRC =28:c6:8e:64:c5:f2, SSID=28:c6:8e:64:c5:f2, TIME= 5913556

PACKET HDR=50, RSSI=-83, DEST=9e:33:51:81:c2:af, SRC =28:c6:8e:64:c5:f2, SSID=28:c6:8e:64:c5:f2, TIME= 7667535

PACKET HDR=50, RSSI=-84, DEST=9e:33:51:81:c2:af, SRC =28:c6:8e:64:c5:f2, SSID=28:c6:8e:64:c5:f2, TIME= 7697155

PACKET HDR=850, RSSI=-84, DEST=9e:33:51:81:c2:af, SRC =28:c6:8e:64:c5:f2, SSID=28:c6:8e:64:c5:f2, TIME= 7697155

PACKET HDR=850, RSSI=-83, DEST=9e:33:51:81:c2:af, SRC =28:c6:8e:64:c5:f2, SSID=28:c6:8e:64:c5:f2, TIME= 7697155

PACKET HDR=850, RSSI=-83, DEST=9e:33:51:81:c2:af, SRC =28:c6:8e:64:c5:f2, SSID=28:c6:8e:64:c5:f2, TIME= 7697155

PACKET HDR=850, RSSI=-83, DEST=9e:33:51:81:c2:af, SRC =28:c6:8e:64:c5:f2, SSID=28:c6:8e:64:c5:f2, TIME= 7697155

PACKET HDR=850, RSSI=-83, DEST=9e:33:51:81:c2:af, SRC =28:c6:8e:64:c5:f2, SSID=28:c6:8e:64:c5:f2, TIME= 7697155

PACKET HDR=850, RSSI=-83, DEST=9e:33:51:81:c2:af, SRC =28:c6:8e:64:c5:f2, SSID=28:c6:8e:64:c5:f2, TIME= 7697155

PACKET HDR=850, RSSI=-83, DEST=9e:33:51:81:c2:af, SRC =28:c6:8e:64:c5:f2, SSID=28:c6:8e:64:c5:f2, TIME= 7697155

PACKET HDR=850, RSSI=-83, DEST=9e:33:51:81:c2:af, SRC =28:c6:8e:64:c5:f2, SSID=28:c6:8e:64:c5:f2, TIME= 7697155

PACKET HDR=850, RSSI=-83, DEST=9e:33:51:81:c2:af, SRC =28:c6:8e:64:c5:f2, SSID=28:c6:8e:64:c5:f2, TIME= 7697155

